Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
NumSaturatedCarbocycles,0.08695652173913043,0.10810810810810811,0.0,0.0,-0.9992680411231575,0.3179105254808129,"nope, deze niet",82,nope,60
NumSaturatedHeterocycles,0.3490701001430615,0.37583892617449666,0.0,0.0,-0.7038004001070863,0.4817217494980317,"nope, deze niet",82,nope,60
NumSaturatedRings,0.42358078602620086,0.5067567567567568,0.0,0.0,-1.9382244830077575,0.05288246374106124,"nope, deze niet",82,nope,60
RingCount,2.8011527377521612,3.057046979865772,3.0,3.0,-3.77460087643546,0.00016979342759403275,goed verschilletje hiero,82,woow,60
MolLogP,2.500745230547549,2.759688187919463,2.64462,2.817270000000001,-2.881879177438939,0.004038525420704463,goed verschilletje hiero,82,woow,60
MolMR,90.24316742857138,96.65630900000004,90.13640000000005,97.52065000000002,-4.535445791106333,6.446059995554822e-06,goed verschilletje hiero,82,woow,60
fr_Al_COO,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Al_OH,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Al_OH_noTert,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_ArN,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Ar_COO,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Ar_N,1.2367288378766141,1.0,1.0,0.0,2.481405856355664,0.01325142755458474,goed verschilletje hiero,82,nope,60
fr_Ar_NH,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Ar_OH,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_COO,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_COO2,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_C_O,1.0549927641099854,1.2233333333333334,1.0,1.0,-2.830153301794418,0.004746766428707125,goed verschilletje hiero,82,woow,60
fr_C_O_noCOO,1.0549927641099854,1.2233333333333334,1.0,1.0,-2.830153301794418,0.004746766428707125,goed verschilletje hiero,82,woow,60
fr_C_S,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_HOCCN,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Imine,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_NH0,1.8082975679542204,1.859531772575251,2.0,2.0,-0.5187750755946479,0.6040328389162994,"nope, deze niet",82,nope,60
fr_NH1,0.9380403458213257,0.9130434782608695,1.0,1.0,0.46987958162675064,0.638544429884496,"nope, deze niet",82,nope,60
fr_NH2,0.0776978417266187,0.0,0.0,0.0,4.843102056259928,1.4866294388499789e-06,goed verschilletje hiero,82,woow,60
fr_N_O,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Ndealkylation1,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Ndealkylation2,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_Nhpyrrole,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_SH,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_aldehyde,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_alkyl_carbamate,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_alkyl_halide,0.016200294550810016,0.027586206896551724,0.0,0.0,-0.9437601784419485,0.3455279452583546,"nope, deze niet",82,nope,60
fr_allylic_oxid,0.036390101892285295,0.11784511784511785,0.0,0.0,-4.363233674121263,1.4170532511884724e-05,goed verschilletje hiero,82,woow,60
fr_amide,0.8219971056439942,0.8338983050847457,1.0,1.0,-0.2102263560375716,0.8335345311300595,"nope, deze niet",82,nope,60
fr_amidine,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_aniline,0.5347826086956522,0.6394557823129252,0.0,1.0,-2.288716470568793,0.02230745975402377,goed verschilletje hiero,82,nope,60
fr_aryl_methyl,0.17841079460269865,0.14335664335664336,0.0,0.0,1.3267240670600824,0.18491845523718678,"nope, deze niet",82,nope,60
fr_azide,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_azo,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_barbitur,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_benzene,1.2589413447782547,1.3433333333333333,1.0,1.0,-1.658664243239573,0.09749800135487037,"nope, deze niet",82,nope,60
fr_benzodiazepine,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_bicyclic,0.4744525547445255,0.5491525423728814,0.0,0.0,-1.488571403937332,0.13692263325529205,"nope, deze niet",82,nope,60
fr_diazo,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_dihydropyridine,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_epoxide,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_ester,0.12716763005780346,0.10580204778156997,0.0,0.0,0.9400285337873691,0.3474338544721238,"nope, deze niet",82,nope,60
fr_ether,0.6975397973950795,0.7186440677966102,0.0,0.0,-0.3604359772932026,0.7185984808016039,"nope, deze niet",82,nope,60
fr_furan,0.0,0.12080536912751678,0.0,0.0,-9.47687304812085,2.0162462396573806e-20,goed verschilletje hiero,82,woow,60
fr_guanido,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_halogen,0.3884057971014493,0.29553264604810997,0.0,0.0,2.0037143262387933,0.04537583283450274,goed verschilletje hiero,82,nope,60
fr_hdrzine,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
fr_hdrzone,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
